fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,city,naics,sic,at,capx,dpact,ppegt,ppent,sale
KOR,I,HIST_STD,FS,C,025258,2022-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,485308744.0000,,1914472.0000,4340486.0000,2426014.0000,
KOR,I,HIST_STD,FS,C,025258,2023-12-31,KOREA EXCHANGE BANK,Seoul,522110,6020,498843436.0000,,2197314.0000,4612524.0000,2415210.0000,
KOR,A,HIST_STD,FS,C,025259,2012-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,34217793.8980,,228514.3050,539877.0000,311362.6950,
KOR,A,HIST_STD,FS,C,025259,2013-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,37577822.0590,,237005.1790,554862.0000,317856.8210,
KOR,A,HIST_STD,FS,C,025259,2014-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,41009706.9250,,248887.4780,584911.0000,336023.5220,
KOR,A,HIST_STD,FS,C,025259,2015-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,51144445.5270,,282724.4860,659396.0000,376671.5140,
KOR,A,HIST_STD,FS,C,025259,2016-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,53462400.5330,,282610.0000,711596.9830,428986.9830,
KOR,A,HIST_STD,FS,C,025259,2017-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,56733837.4500,,266724.0000,742205.0000,475481.0000,
KOR,A,HIST_STD,FS,C,025259,2018-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,64917599.7890,,325320.0000,1067232.0880,741912.0880,
KOR,A,HIST_STD,FS,C,025259,2019-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,72397722.9880,,344255.0000,1134782.3300,790527.3300,
KOR,A,HIST_STD,FS,C,025259,2020-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,79971805.1800,,386565.0000,1140843.7180,754278.7180,
KOR,A,HIST_STD,FS,C,025259,2021-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,85905990.8820,,432670.0000,1259380.8200,826710.8200,
KOR,A,HIST_STD,FS,C,025259,2022-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,91010724.5240,,474759.0000,1312576.6900,837817.6900,
KOR,A,HIST_STD,FS,C,025259,2023-12-31,DGB FINANCIAL GROUP CO LTD,Daegu,522110,6020,93359783.7760,,534934.0000,1348473.6210,813539.6210,
KOR,A,HIST_STD,FS,C,025714,2012-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,300848489.0000,,1694964.0000,4741650.0000,3046686.0000,
KOR,A,HIST_STD,FS,C,025714,2013-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,311296843.0000,,1740048.0000,4954351.0000,3214303.0000,
KOR,A,HIST_STD,FS,C,025714,2014-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,338021804.0000,,1769328.0000,4916583.0000,3147255.0000,
KOR,A,HIST_STD,FS,C,025714,2015-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,370539622.0000,,1781737.0000,4820214.0000,3038477.0000,
KOR,A,HIST_STD,FS,C,025714,2016-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,395680324.0000,,1880440.0000,5026053.0000,3145613.0000,
KOR,A,HIST_STD,FS,C,025714,2017-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,426305656.0000,,1915588.0000,4937360.0000,3021772.0000,
KOR,A,HIST_STD,FS,C,025714,2018-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,459600510.0000,,2000468.0000,5004354.0000,3003886.0000,
KOR,A,HIST_STD,FS,C,025714,2019-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,552419581.0000,,2387309.0000,6470637.0000,4083328.0000,
KOR,A,HIST_STD,FS,C,025714,2020-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,605234104.0000,,2673385.0000,6663082.0000,3989697.0000,
KOR,A,HIST_STD,FS,C,025714,2021-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,648152185.0000,,2853686.0000,6899850.0000,4046164.0000,
KOR,A,HIST_STD,FS,C,025714,2022-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,675884281.0000,,2881668.0000,8825556.0000,5943888.0000,
KOR,A,HIST_STD,FS,C,025714,2023-12-31,SHINHAN FINANCIAL GROUP LTD,Seoul,522110,6020,691795333.0000,,3157365.0000,7129669.0000,3972304.0000,
KOR,A,HIST_STD,FS,C,030501,2012-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,282006578.0000,,2333718.0000,5437315.0000,3103597.0000,
KOR,A,HIST_STD,FS,C,030501,2013-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,291838155.0000,,2425345.0000,5486188.0000,3060843.0000,
KOR,A,HIST_STD,FS,C,030501,2014-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,308355708.0000,,2485803.0000,5568788.0000,3082985.0000,
KOR,A,HIST_STD,FS,C,030501,2015-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,329065467.0000,,2443328.0000,5730711.0000,3287383.0000,
KOR,A,HIST_STD,FS,C,030501,2016-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,375673656.0000,,2495154.0000,6122422.0000,3627268.0000,
KOR,A,HIST_STD,FS,C,030501,2017-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,436785609.0000,,2861121.0000,7062818.0000,4201697.0000,
KOR,A,HIST_STD,FS,C,030501,2018-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,479588298.0000,,2937862.0000,7209989.0000,4272127.0000,
KOR,A,HIST_STD,FS,C,030501,2019-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,518538117.0000,,3321711.0000,8398786.0000,5077075.0000,
KOR,A,HIST_STD,FS,C,030501,2020-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,610672192.0000,,3917930.0000,9356110.0000,5438180.0000,
KOR,A,HIST_STD,FS,C,030501,2021-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,663895834.0000,,4249427.0000,9489325.0000,5239898.0000,
KOR,A,HIST_STD,FS,C,030501,2022-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,701170848.0000,,4405029.0000,9396496.0000,4991467.0000,
KOR,A,HIST_STD,FS,C,030501,2023-12-31,KB FINANCIAL GROUP,Seoul,522110,6020,715738152.0000,,4686034.0000,9631733.0000,4945699.0000,
KOR,A,HIST_STD,INDL,C,030874,2012-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,146152820.0000,11446834.0000,35755461.0000,158131601.0000,122376140.0000,49421513.0000
KOR,A,HIST_STD,INDL,C,030874,2013-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,155527334.0000,14259050.0000,42549280.0000,172186876.0000,129637596.0000,54037795.0000
KOR,A,HIST_STD,INDL,C,030874,2014-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,163708289.0000,14547499.0000,49653396.0000,185465895.0000,135812499.0000,57474883.0000
KOR,A,HIST_STD,INDL,C,030874,2015-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,175257359.0000,14049887.0000,57004402.0000,198365753.0000,141361351.0000,58957722.0000
KOR,A,HIST_STD,INDL,C,030874,2016-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,177837042.0000,12028789.0000,65116821.0000,210859877.0000,145743056.0000,60190384.0000
KOR,A,HIST_STD,INDL,C,030874,2017-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,181788915.0000,12535958.0000,73984830.0000,224867244.0000,150882414.0000,59814862.0000
KOR,A,HIST_STD,INDL,C,030874,2018-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,185249061.0000,12266870.0000,82953100.0000,235696294.0000,152743194.0000,60627610.0000
KOR,A,HIST_STD,INDL,C,030874,2019-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,197597792.0000,14000359.0000,92687798.0000,257389625.0000,164701827.0000,59172890.0000
KOR,A,HIST_STD,INDL,C,030874,2020-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,203142111.0000,13281294.0000,102800055.0000,271509442.0000,168709387.0000,58569314.0000
KOR,A,HIST_STD,INDL,C,030874,2021-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,211108870.0000,12668534.0000,113125144.0000,286244925.0000,173119781.0000,60574819.0000
KOR,A,HIST_STD,INDL,C,030874,2022-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,234804994.0000,12346878.0000,122280663.0000,300145971.0000,177865308.0000,71257863.0000
KOR,A,HIST_STD,INDL,C,030874,2023-12-31,KEPCO-KOREA ELEC POWER CORP,Naju-Si,2211,4911,239714965.0000,13908373.0000,133721042.0000,313596577.0000,179875535.0000,88219461.0000
KOR,A,HIST_STD,INDL,C,104582,2012-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,10895087.2920,459720.9820,3565406.5740,5536508.6020,1971102.0280,5771184.9200
KOR,A,HIST_STD,INDL,C,104582,2013-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,10555670.8890,667127.0190,3418893.2190,5206847.8670,1787954.6480,5016464.9020
KOR,A,HIST_STD,INDL,C,104582,2014-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,15968549.9460,476280.7810,,,3324877.5510,5474221.6410
KOR,A,HIST_STD,INDL,C,104582,2015-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,16225303.4580,725906.4160,,,3228961.7270,7569330.8400
KOR,A,HIST_STD,INDL,C,104582,2016-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,14900311.2340,832629.2480,3670336.5090,6174131.4580,2503794.9490,5200822.5100
KOR,A,HIST_STD,INDL,C,104582,2017-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,15751476.3300,991466.9360,3786602.3950,6716941.7210,2930339.3260,6321560.9220
KOR,A,HIST_STD,INDL,C,104582,2018-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,19349721.1840,2146134.8090,4119274.7780,8727608.7640,4608333.9860,9158272.4550
KOR,A,HIST_STD,INDL,C,104582,2019-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,19852096.4480,1898302.3520,4708361.4930,10135204.6670,5426843.1740,10097426.1640
